Starting modules.sh
Shell: bash
Sourcing /usr/share/modules/init/bash
Finished modules.sh
Epoch: 9/50 | Batch: 30/125 | BatchLoss: 0.00006
Epoch: 9/50 | Batch: 40/125 | BatchLoss: 0.00005
Epoch: 9/50 | Batch: 50/125 | BatchLoss: 0.00005
Epoch: 9/50 | Batch: 60/125 | BatchLoss: 0.00005
Epoch: 9/50 | Batch: 70/125 | BatchLoss: 0.00004
Epoch: 9/50 | Batch: 80/125 | BatchLoss: 0.00005
Epoch: 9/50 | Batch: 90/125 | BatchLoss: 0.00005
Epoch: 9/50 | Batch: 100/125 | BatchLoss: 0.00005
Epoch: 9/50 | Batch: 110/125 | BatchLoss: 0.00004
Epoch: 9/50 | Batch: 120/125 | BatchLoss: 0.00004
Epoch: 9/50 | Loss: 0.00005, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 10/50 | Batch: 0/125 | BatchLoss: 0.00003
Epoch: 10/50 | Batch: 10/125 | BatchLoss: 0.00003
Epoch: 10/50 | Batch: 20/125 | BatchLoss: 0.00003
Epoch: 10/50 | Batch: 30/125 | BatchLoss: 0.00004
Epoch: 10/50 | Batch: 40/125 | BatchLoss: 0.00003
Epoch: 10/50 | Batch: 50/125 | BatchLoss: 0.00004
Epoch: 10/50 | Batch: 60/125 | BatchLoss: 0.00003
Epoch: 10/50 | Batch: 70/125 | BatchLoss: 0.00003
Epoch: 10/50 | Batch: 80/125 | BatchLoss: 0.00003
Epoch: 10/50 | Batch: 90/125 | BatchLoss: 0.00003
Epoch: 10/50 | Batch: 100/125 | BatchLoss: 0.00003
Epoch: 10/50 | Batch: 110/125 | BatchLoss: 0.00003
Epoch: 10/50 | Batch: 120/125 | BatchLoss: 0.00003
Epoch: 10/50 | Loss: 0.00003, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 11/50 | Batch: 0/125 | BatchLoss: 0.00003
Epoch: 11/50 | Batch: 10/125 | BatchLoss: 0.00003
Epoch: 11/50 | Batch: 20/125 | BatchLoss: 0.00002
Epoch: 11/50 | Batch: 30/125 | BatchLoss: 0.00002
Epoch: 11/50 | Batch: 40/125 | BatchLoss: 0.00002
Epoch: 11/50 | Batch: 50/125 | BatchLoss: 0.00002
Epoch: 11/50 | Batch: 60/125 | BatchLoss: 0.00002
Epoch: 11/50 | Batch: 70/125 | BatchLoss: 0.00002
Epoch: 11/50 | Batch: 80/125 | BatchLoss: 0.00002
Epoch: 11/50 | Batch: 90/125 | BatchLoss: 0.00002
Epoch: 11/50 | Batch: 100/125 | BatchLoss: 0.00003
Epoch: 11/50 | Batch: 110/125 | BatchLoss: 0.00002
Epoch: 11/50 | Batch: 120/125 | BatchLoss: 0.00002
Epoch: 11/50 | Loss: 0.00002, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 12/50 | Batch: 0/125 | BatchLoss: 0.00002
Epoch: 12/50 | Batch: 10/125 | BatchLoss: 0.00002
Epoch: 12/50 | Batch: 20/125 | BatchLoss: 0.00002
Epoch: 12/50 | Batch: 30/125 | BatchLoss: 0.00002
Epoch: 12/50 | Batch: 40/125 | BatchLoss: 0.00002
Epoch: 12/50 | Batch: 50/125 | BatchLoss: 0.00002
Epoch: 12/50 | Batch: 60/125 | BatchLoss: 0.00002
Epoch: 12/50 | Batch: 70/125 | BatchLoss: 0.00001
Epoch: 12/50 | Batch: 80/125 | BatchLoss: 0.00001
Epoch: 12/50 | Batch: 90/125 | BatchLoss: 0.00001
Epoch: 12/50 | Batch: 100/125 | BatchLoss: 0.00001
Epoch: 12/50 | Batch: 110/125 | BatchLoss: 0.00001
Epoch: 12/50 | Batch: 120/125 | BatchLoss: 0.00001
Epoch: 12/50 | Loss: 0.00002, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 13/50 | Batch: 0/125 | BatchLoss: 0.00001
Epoch: 13/50 | Batch: 10/125 | BatchLoss: 0.00001
Epoch: 13/50 | Batch: 20/125 | BatchLoss: 0.00002
Epoch: 13/50 | Batch: 30/125 | BatchLoss: 0.00001
Epoch: 13/50 | Batch: 40/125 | BatchLoss: 0.00001
Epoch: 13/50 | Batch: 50/125 | BatchLoss: 0.00001
Epoch: 13/50 | Batch: 60/125 | BatchLoss: 0.00001
Epoch: 13/50 | Batch: 70/125 | BatchLoss: 0.00001
Epoch: 13/50 | Batch: 80/125 | BatchLoss: 0.00001
Epoch: 13/50 | Batch: 90/125 | BatchLoss: 0.00001
Epoch: 13/50 | Batch: 100/125 | BatchLoss: 0.00001
Epoch: 13/50 | Batch: 110/125 | BatchLoss: 0.00001
Epoch: 13/50 | Batch: 120/125 | BatchLoss: 0.00001
Epoch: 13/50 | Loss: 0.00001, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 14/50 | Batch: 0/125 | BatchLoss: 0.00001
Epoch: 14/50 | Batch: 10/125 | BatchLoss: 0.00001
Epoch: 14/50 | Batch: 20/125 | BatchLoss: 0.00001
Epoch: 14/50 | Batch: 30/125 | BatchLoss: 0.00001
Epoch: 14/50 | Batch: 40/125 | BatchLoss: 0.00001
Epoch: 14/50 | Batch: 50/125 | BatchLoss: 0.00001
Epoch: 14/50 | Batch: 60/125 | BatchLoss: 0.00001
Epoch: 14/50 | Batch: 70/125 | BatchLoss: 0.00001
Epoch: 14/50 | Batch: 80/125 | BatchLoss: 0.00001
Epoch: 14/50 | Batch: 90/125 | BatchLoss: 0.00001
Epoch: 14/50 | Batch: 100/125 | BatchLoss: 0.00001
Epoch: 14/50 | Batch: 110/125 | BatchLoss: 0.00001
Epoch: 14/50 | Batch: 120/125 | BatchLoss: 0.00001
Epoch: 14/50 | Loss: 0.00001, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 15/50 | Batch: 0/125 | BatchLoss: 0.00001
Epoch: 15/50 | Batch: 10/125 | BatchLoss: 0.00001
Epoch: 15/50 | Batch: 20/125 | BatchLoss: 0.00001
Epoch: 15/50 | Batch: 30/125 | BatchLoss: 0.00001
Epoch: 15/50 | Batch: 40/125 | BatchLoss: 0.00001
Epoch: 15/50 | Batch: 50/125 | BatchLoss: 0.00001
Epoch: 15/50 | Batch: 60/125 | BatchLoss: 0.00001
Epoch: 15/50 | Batch: 70/125 | BatchLoss: 0.00001
Epoch: 15/50 | Batch: 80/125 | BatchLoss: 0.00001
Epoch: 15/50 | Batch: 90/125 | BatchLoss: 0.00001
Epoch: 15/50 | Batch: 100/125 | BatchLoss: 0.00001
Epoch: 15/50 | Batch: 110/125 | BatchLoss: 0.00001
Epoch: 15/50 | Batch: 120/125 | BatchLoss: 0.00001
Epoch: 15/50 | Loss: 0.00001, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 16/50 | Batch: 0/125 | BatchLoss: 0.00001
Epoch: 16/50 | Batch: 10/125 | BatchLoss: 0.00001
Epoch: 16/50 | Batch: 20/125 | BatchLoss: 0.00001
Epoch: 16/50 | Batch: 30/125 | BatchLoss: 0.00001
Epoch: 16/50 | Batch: 40/125 | BatchLoss: 0.00001
Epoch: 16/50 | Batch: 50/125 | BatchLoss: 0.00001
Epoch: 16/50 | Batch: 60/125 | BatchLoss: 0.00001
Epoch: 16/50 | Batch: 70/125 | BatchLoss: 0.00001
Epoch: 16/50 | Batch: 80/125 | BatchLoss: 0.00001
Epoch: 16/50 | Batch: 90/125 | BatchLoss: 0.00001
Epoch: 16/50 | Batch: 100/125 | BatchLoss: 0.00001
Epoch: 16/50 | Batch: 110/125 | BatchLoss: 0.00000
Epoch: 16/50 | Batch: 120/125 | BatchLoss: 0.00000
Epoch: 16/50 | Loss: 0.00001, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 17/50 | Batch: 0/125 | BatchLoss: 0.00001
Epoch: 17/50 | Batch: 10/125 | BatchLoss: 0.00001
Epoch: 17/50 | Batch: 20/125 | BatchLoss: 0.00000
Epoch: 17/50 | Batch: 30/125 | BatchLoss: 0.00000
Epoch: 17/50 | Batch: 40/125 | BatchLoss: 0.00000
Epoch: 17/50 | Batch: 50/125 | BatchLoss: 0.00001
Epoch: 17/50 | Batch: 60/125 | BatchLoss: 0.00001
Epoch: 17/50 | Batch: 70/125 | BatchLoss: 0.00001
Epoch: 17/50 | Batch: 80/125 | BatchLoss: 0.00001
Epoch: 17/50 | Batch: 90/125 | BatchLoss: 0.00000
Epoch: 17/50 | Batch: 100/125 | BatchLoss: 0.00000
Epoch: 17/50 | Batch: 110/125 | BatchLoss: 0.00001
Epoch: 17/50 | Batch: 120/125 | BatchLoss: 0.00000
Epoch: 17/50 | Loss: 0.00001, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 18/50 | Batch: 0/125 | BatchLoss: 0.00000
Epoch: 18/50 | Batch: 10/125 | BatchLoss: 0.00000
Epoch: 18/50 | Batch: 20/125 | BatchLoss: 0.00000
Epoch: 18/50 | Batch: 30/125 | BatchLoss: 0.00000
Epoch: 18/50 | Batch: 40/125 | BatchLoss: 0.00001
Epoch: 18/50 | Batch: 50/125 | BatchLoss: 0.00000
Epoch: 18/50 | Batch: 60/125 | BatchLoss: 0.00000
Epoch: 18/50 | Batch: 70/125 | BatchLoss: 0.00000
Epoch: 18/50 | Batch: 80/125 | BatchLoss: 0.00000
Epoch: 18/50 | Batch: 90/125 | BatchLoss: 0.00001
Epoch: 18/50 | Batch: 100/125 | BatchLoss: 0.00000
Epoch: 18/50 | Batch: 110/125 | BatchLoss: 0.00000
Epoch: 18/50 | Batch: 120/125 | BatchLoss: 0.00000
Epoch: 18/50 | Loss: 0.00000, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 19/50 | Batch: 0/125 | BatchLoss: 0.00001
Epoch: 19/50 | Batch: 10/125 | BatchLoss: 0.00000
Epoch: 19/50 | Batch: 20/125 | BatchLoss: 0.00000
Epoch: 19/50 | Batch: 30/125 | BatchLoss: 0.00000
Epoch: 19/50 | Batch: 40/125 | BatchLoss: 0.00000
Epoch: 19/50 | Batch: 50/125 | BatchLoss: 0.00001
Epoch: 19/50 | Batch: 60/125 | BatchLoss: 0.00000
Epoch: 19/50 | Batch: 70/125 | BatchLoss: 0.00000
Epoch: 19/50 | Batch: 80/125 | BatchLoss: 0.00000
Epoch: 19/50 | Batch: 90/125 | BatchLoss: 0.00000
Epoch: 19/50 | Batch: 100/125 | BatchLoss: 0.00000
Epoch: 19/50 | Batch: 110/125 | BatchLoss: 0.00000
Epoch: 19/50 | Batch: 120/125 | BatchLoss: 0.00000
Epoch: 19/50 | Loss: 0.00000, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 20/50 | Batch: 0/125 | BatchLoss: 0.00000
Epoch: 20/50 | Batch: 10/125 | BatchLoss: 0.00000
Epoch: 20/50 | Batch: 20/125 | BatchLoss: 0.00000
Epoch: 20/50 | Batch: 30/125 | BatchLoss: 0.00000
Epoch: 20/50 | Batch: 40/125 | BatchLoss: 0.00000
Epoch: 20/50 | Batch: 50/125 | BatchLoss: 0.00000
Epoch: 20/50 | Batch: 60/125 | BatchLoss: 0.00000
Epoch: 20/50 | Batch: 70/125 | BatchLoss: 0.00000
Epoch: 20/50 | Batch: 80/125 | BatchLoss: 0.00000
Epoch: 20/50 | Batch: 90/125 | BatchLoss: 0.00000
Epoch: 20/50 | Batch: 100/125 | BatchLoss: 0.00000
Epoch: 20/50 | Batch: 110/125 | BatchLoss: 0.00000
Epoch: 20/50 | Batch: 120/125 | BatchLoss: 0.00000
Epoch: 20/50 | Loss: 0.00000, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 21/50 | Batch: 0/125 | BatchLoss: 0.00000
Epoch: 21/50 | Batch: 10/125 | BatchLoss: 0.00000
Epoch: 21/50 | Batch: 20/125 | BatchLoss: 0.00000
Epoch: 21/50 | Batch: 30/125 | BatchLoss: 0.00000
Epoch: 21/50 | Batch: 40/125 | BatchLoss: 0.00000
Epoch: 21/50 | Batch: 50/125 | BatchLoss: 0.00000
Epoch: 21/50 | Batch: 60/125 | BatchLoss: 0.00000
Epoch: 21/50 | Batch: 70/125 | BatchLoss: 0.00000
Epoch: 21/50 | Batch: 80/125 | BatchLoss: 0.00000
Epoch: 21/50 | Batch: 90/125 | BatchLoss: 0.00000
Epoch: 21/50 | Batch: 100/125 | BatchLoss: 0.00000
Epoch: 21/50 | Batch: 110/125 | BatchLoss: 0.00000
Epoch: 21/50 | Batch: 120/125 | BatchLoss: 0.00000
Epoch: 21/50 | Loss: 0.00000, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 22/50 | Batch: 0/125 | BatchLoss: 0.00000
Epoch: 22/50 | Batch: 10/125 | BatchLoss: 0.00000
Epoch: 22/50 | Batch: 20/125 | BatchLoss: 0.00000
Epoch: 22/50 | Batch: 30/125 | BatchLoss: 0.00000
Epoch: 22/50 | Batch: 40/125 | BatchLoss: 0.00000
Epoch: 22/50 | Batch: 50/125 | BatchLoss: 0.00000
Epoch: 22/50 | Batch: 60/125 | BatchLoss: 0.00000
Epoch: 22/50 | Batch: 70/125 | BatchLoss: 0.00000
Epoch: 22/50 | Batch: 80/125 | BatchLoss: 0.00000
Epoch: 22/50 | Batch: 90/125 | BatchLoss: 0.00000
Epoch: 22/50 | Batch: 100/125 | BatchLoss: 0.00000
Epoch: 22/50 | Batch: 110/125 | BatchLoss: 0.00000
Epoch: 22/50 | Batch: 120/125 | BatchLoss: 0.00000
Epoch: 22/50 | Loss: 0.00000, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 23/50 | Batch: 0/125 | BatchLoss: 0.00000
Epoch: 23/50 | Batch: 10/125 | BatchLoss: 0.00000
Epoch: 23/50 | Batch: 20/125 | BatchLoss: 0.00000
Epoch: 23/50 | Batch: 30/125 | BatchLoss: 0.00000
Epoch: 23/50 | Batch: 40/125 | BatchLoss: 0.00000
Epoch: 23/50 | Batch: 50/125 | BatchLoss: 0.00000
Epoch: 23/50 | Batch: 60/125 | BatchLoss: 0.00000
